country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333,Lung Cancer,28.801,779.4453145
Afghanistan,1957,9240934,Lung Cancer,30.332,820.8530296
Afghanistan,1962,10267083,Lung Cancer,31.997,853.10071
Afghanistan,1967,11537966,Lung Cancer,34.02,836.1971382
Afghanistan,1972,13079460,Lung Cancer,36.088,739.9811058
Afghanistan,1977,14880372,Lung Cancer,38.438,786.11336
Afghanistan,1982,12881816,Lung Cancer,39.854,978.0114388
Afghanistan,1987,13867957,Lung Cancer,40.822,852.3959448
Afghanistan,1992,16317921,Lung Cancer,41.674,649.3413952
Afghanistan,1997,22227415,Lung Cancer,41.763,635.341351
Afghanistan,2002,25268405,Lung Cancer,42.129,726.7340548
Afghanistan,2007,31889923,Lung Cancer,43.828,974.5803384
Albania,1952,1282697,Breast Cancer,55.23,1601.056136
Albania,1957,1476505,Breast Cancer,59.28,1942.284244
Albania,1962,1728137,Breast Cancer,64.82,2312.888958
Albania,1967,1984060,Breast Cancer,66.22,2760.196931
Albania,1972,2263554,Breast Cancer,67.69,3313.422188
Albania,1977,2509048,Breast Cancer,68.93,3533.00391
Albania,1982,2780097,Breast Cancer,70.42,3630.880722
Albania,1987,3075321,Breast Cancer,72,3738.932735
Albania,1992,3326498,Breast Cancer,71.581,2497.437901
Albania,1997,3428038,Breast Cancer,72.95,3193.054604
Albania,2002,3508512,Breast Cancer,75.651,4604.211737
Albania,2007,3600523,Breast Cancer,76.423,5937.029526
Algeria,1952,9279525,Testicular Cancer,43.077,2449.008185
Algeria,1957,10270856,Testicular Cancer,45.685,3013.976023
Algeria,1962,11000948,Testicular Cancer,48.303,2550.81688
Algeria,1967,12760499,Testicular Cancer,51.407,3246.991771
Algeria,1972,14760787,Testicular Cancer,54.518,4182.663766
Algeria,1977,17152804,Testicular Cancer,58.014,4910.416756
Algeria,1982,20033753,Testicular Cancer,61.368,5745.160213
Algeria,1987,23254956,Testicular Cancer,65.799,5681.358539
Algeria,1992,26298373,Testicular Cancer,67.744,5023.216647
Algeria,1997,29072015,Testicular Cancer,69.152,4797.295051
Algeria,2002,31287142,Testicular Cancer,70.994,5288.040382
Algeria,2007,33333216,Testicular Cancer,72.301,6223.367465
Angola,1952,4232095,Testicular Cancer,30.015,3520.610273
Angola,1957,4561361,Testicular Cancer,31.999,3827.940465
Angola,1962,4826015,Testicular Cancer,34,4269.276742
Angola,1967,5247469,Testicular Cancer,35.985,5522.776375
Angola,1972,5894858,Testicular Cancer,37.928,5473.288005
Angola,1977,6162675,Testicular Cancer,39.483,3008.647355
Angola,1982,7016384,Testicular Cancer,39.942,2756.953672
Angola,1987,7874230,Testicular Cancer,39.906,2430.208311
Angola,1992,8735988,Testicular Cancer,40.647,2627.845685
Angola,1997,9875024,Testicular Cancer,40.963,2277.140884
Angola,2002,10866106,Testicular Cancer,41.003,2773.287312
Angola,2007,12420476,Testicular Cancer,42.731,4797.231267
Argentina,1952,17876956,Cervical Cancers,62.485,5911.315053
Argentina,1957,19610538,Cervical Cancers,64.399,6856.856212
Argentina,1962,21283783,Cervical Cancers,65.142,7133.166023
Argentina,1967,22934225,Cervical Cancers,65.634,8052.953021
Argentina,1972,24779799,Cervical Cancers,67.065,9443.038526
Argentina,1977,26983828,Cervical Cancers,68.481,10079.02674
Argentina,1982,29341374,Cervical Cancers,69.942,8997.897412
Argentina,1987,31620918,Cervical Cancers,70.774,9139.671389
Argentina,1992,33958947,Cervical Cancers,71.868,9308.41871
Argentina,1997,36203463,Cervical Cancers,73.275,10967.28195
Argentina,2002,38331121,Cervical Cancers,74.34,8797.640716
Argentina,2007,40301927,Cervical Cancers,75.32,12779.37964
Australia,1952,8691212,Blood Cancer,69.12,10039.59564
Australia,1957,9712569,Blood Cancer,70.33,10949.64959
Australia,1962,10794968,Blood Cancer,70.93,12217.22686
Australia,1967,11872264,Blood Cancer,71.1,14526.12465
Australia,1972,13177000,Blood Cancer,71.93,16788.62948
Australia,1977,14074100,Blood Cancer,73.49,18334.19751
Australia,1982,15184200,Blood Cancer,74.74,19477.00928
Australia,1987,16257249,Blood Cancer,76.32,21888.88903
Australia,1992,17481977,Blood Cancer,77.56,23424.76683
Australia,1997,18565243,Blood Cancer,78.83,26997.93657
Australia,2002,19546792,Blood Cancer,80.37,30687.75473
Australia,2007,20434176,Blood Cancer,81.235,34435.36744
Austria,1952,6927772,Breast Cancer,66.8,6137.076492
Austria,1957,6965860,Breast Cancer,67.48,8842.59803
Austria,1962,7129864,Breast Cancer,69.54,10750.72111
Austria,1967,7376998,Breast Cancer,70.14,12834.6024
Austria,1972,7544201,Breast Cancer,70.63,16661.6256
Austria,1977,7568430,Breast Cancer,72.17,19749.4223
Austria,1982,7574613,Breast Cancer,73.18,21597.08362
Austria,1987,7578903,Breast Cancer,74.94,23687.82607
Austria,1992,7914969,Breast Cancer,76.04,27042.01868
Austria,1997,8069876,Breast Cancer,77.51,29095.92066
Austria,2002,8148312,Breast Cancer,78.98,32417.60769
Austria,2007,8199783,Breast Cancer,79.829,36126.4927
Bahrain,1952,120447,Lung Cancer,50.939,9867.084765
Bahrain,1957,138655,Lung Cancer,53.832,11635.79945
Bahrain,1962,171863,Lung Cancer,56.923,12753.27514
Bahrain,1967,202182,Lung Cancer,59.923,14804.6727
Bahrain,1972,230800,Lung Cancer,63.3,18268.65839
Bahrain,1977,297410,Lung Cancer,65.593,19340.10196
Bahrain,1982,377967,Lung Cancer,69.052,19211.14731
Bahrain,1987,454612,Lung Cancer,70.75,18524.02406
Bahrain,1992,529491,Lung Cancer,72.601,19035.57917
Bahrain,1997,598561,Lung Cancer,73.925,20292.01679
Bahrain,2002,656397,Lung Cancer,74.795,23403.55927
Bahrain,2007,708573,Lung Cancer,75.635,29796.04834
Bangladesh,1952,46886859,Lung Cancer,37.484,684.2441716
Bangladesh,1957,51365468,Lung Cancer,39.348,661.6374577
Bangladesh,1962,56839289,Lung Cancer,41.216,686.3415538
Bangladesh,1967,62821884,Lung Cancer,43.453,721.1860862
Bangladesh,1972,70759295,Lung Cancer,45.252,630.2336265
Bangladesh,1977,80428306,Lung Cancer,46.923,659.8772322
Bangladesh,1982,93074406,Lung Cancer,50.009,676.9818656
Bangladesh,1987,103764241,Lung Cancer,52.819,751.9794035
Bangladesh,1992,113704579,Lung Cancer,56.018,837.8101643
Bangladesh,1997,123315288,Lung Cancer,59.412,972.7700352
Bangladesh,2002,135656790,Lung Cancer,62.013,1136.39043
Bangladesh,2007,150448339,Lung Cancer,64.062,1391.253792
Belgium,1952,8730405,Breast Cancer,68,8343.105127
Belgium,1957,8989111,Breast Cancer,69.24,9714.960623
Belgium,1962,9218400,Breast Cancer,70.25,10991.20676
Belgium,1967,9556500,Breast Cancer,70.94,13149.04119
Belgium,1972,9709100,Breast Cancer,71.44,16672.14356
Belgium,1977,9821800,Breast Cancer,72.8,19117.97448
